# ----------------------------------------,,,,,
# Global Network,,,,,
# Search Reporting,,,,,
# 20171122-20171128,,,,,
# ----------------------------------------,,,,,
Browser,Search,Search Result Click,Search to Search Result Click Ratio,Apply Click,Search to Apply Click Ratio
Chrome,"1,974",818,0.41,372,0.19
Safari,924,416,0.45,79,0.09
Firefox,94,21,0.22,15,0.16
Samsung Internet,14,8,0.57,0,0
Opera,2,0,0,1,0.5
Safari (in-app),1,0,0,0,0
,"3,009","1,263",0.42,467,0.16
Day Index,Search,,,,
11/22/17,555,,,,
11/23/17,245,,,,
11/24/17,254,,,,
11/25/17,184,,,,
11/26/17,333,,,,
11/27/17,825,,,,
11/28/17,613,,,,
,"3,009",,,,
